name,city,address,region,is_active,latitude,longitude,source_url,banki_office_id
Сбербанк — Дополнительный офис №8615/0274,Шабаново,"Кемеровская область - Кузбасс, Ленинск-Кузнецкий р-н, с Шабаново, ул Советская, зд 65",Кемеровская область,true,54.67118,85.610571,https://www.banki.ru/banks/bank/sberbank/branches/kemerovskaya_oblast~/shabanovo/,13290546
Сбербанк — Дополнительный офис №8615/0227,Шерегеш,"Кемеровская область - Кузбасс, Таштагольский р-н, пгт Шерегеш, ул Дзержинского, д 22",Кемеровская область,true,52.930392,87.985523,https://www.banki.ru/banks/bank/sberbank/branches/kemerovskaya_oblast~/sheregessh/,13290529
Сбербанк — Дополнительный офис №8615/0206,Юрга,"Кемеровская область - Кузбасс, г Юрга, ул Московская, д 42",Кемеровская область,true,55.715146,84.92337,https://www.banki.ru/banks/bank/sberbank/branches/kemerovskaya_oblast~/yurga/,13290518
Сбербанк — Дополнительный офис №8615/0209,Юргинский,"Кемеровская область - Кузбасс, Юргинский р-н, п Юргинский, ул Центральная, зд 25",Кемеровская область,true,55.689715,84.635152,https://www.banki.ru/banks/bank/sberbank/branches/kemerovskaya_oblast~/yurginskiy/,13290521
Сбербанк — Дополнительный офис №8615/0159,Ясногорский,"Кемеровская область - Кузбасс, Кемеровский р-н, п Ясногорский, ул Центральная, д 6",Кемеровская область,true,55.343512,85.89459,https://www.banki.ru/banks/bank/sberbank/branches/kemerovskaya_oblast~/yasnogorskiy/,13290505
Сбербанк — Дополнительный офис №8615/0386,Яшкино,"Кемеровская область - Кузбасс, пгт Яшкино, ул Куйбышева, зд 2Г",Кемеровская область,true,55.871599,85.435711,https://www.banki.ru/banks/bank/sberbank/branches/kemerovskaya_oblast~/yasshkino/,13290593
Сбербанк — Дополнительный офис №8615/0380,Яя,"Кемеровская область - Кузбасс, Яйский р-н, пгт Яя, ул Советская, д 3",Кемеровская область,true,56.202531,86.450481,https://www.banki.ru/banks/bank/sberbank/branches/kemerovskaya_oblast~/yaya/,13290591
Сбербанк — Дополнительный офис №8646/0421,Абан,"Красноярский край, п Абан, ул Пионерская, д 1 стр 1",Красноярский край,true,56.675464,96.066258,https://www.banki.ru/banks/bank/sberbank/branches/krasnoyarskiy_kray/aban/,13291228
Сбербанк — Дополнительный офис №8646/0817,Агинское,"Красноярский край, с Агинское, ул Советская, д 104",Красноярский край,true,55.259418,94.916523,https://www.banki.ru/banks/bank/sberbank/branches/krasnoyarskiy_kray/aginskoe/,13291319
Сбербанк — Дополнительный офис №8646/0435,Ангарский,"Красноярский край, Богучанский р-н, п Ангарский, ул Ленина, д 3",Красноярский край,true,58.433934,97.151822,https://www.banki.ru/banks/bank/sberbank/branches/krasnoyarskiy_kray/angarskiy/,13291239
